meankl,ev_tdlam_before,TimestepsSoFar,EpTrueRewMean,surrgain,EpThisIter,TimeElapsed,entloss,EpLenMean,entropy,EpRewMean,EpisodesSoFar,optimgain
0.010648846,0.0810704231262207,933318,2985.940970087172,0.043441467,1,14498.40808916092,0.0,834.05,1.509659,430.35654,1604,0.043441467
0.011903474,0.1289217472076416,934318,3003.6699946920735,0.04611007,1,14507.988054037094,0.0,839.9,1.5089173,432.49194,1605,0.04611007
0.011136358,0.7518402934074402,935969,3022.549010970507,0.045470487,2,14517.66833949089,0.0,844.325,1.5385203,435.73798,1607,0.045470487
0.012215039,0.9591650068759918,936749,3012.5596931899127,0.06845053,1,14527.419269800186,0.0,841.675,1.556839,434.57666,1608,0.06845053
0.013823031,0.9785100538283587,937517,2994.7308599722755,0.056827813,1,14537.153598546982,0.0,835.875,1.5436909,432.66544,1609,0.056827813
0.010962671,0.969264842569828,938115,2960.545843202875,0.07260527,1,14546.744629621506,0.0,825.825,1.549549,428.12823,1610,0.07260527
0.012404103,0.061000704765319824,939115,2961.1795599169395,0.041171625,1,14556.498973608017,0.0,825.825,1.5290805,428.96222,1611,0.041171625
0.010775204,0.9822015073150396,939452,2903.5228319646,0.055010013,1,14566.442899942398,0.0,809.25,1.5212162,421.52295,1612,0.055010013
0.0102272015,0.764615997672081,940856,2851.1769062578555,0.051689986,2,14576.079341888428,0.0,794.35,1.543638,415.20523,1614,0.051689986
0.010715938,0.1390765905380249,941856,2915.5760344297573,0.039675977,1,14585.907974243164,0.0,812.65,1.5340753,424.11533,1615,0.039675977
0.01157981,0.16110002994537354,942856,2982.005054140408,0.050637998,1,14595.442046403885,0.0,831.525,1.5490739,433.56357,1616,0.050637998
0.010763549,0.2868518829345703,943856,2980.9910604294746,0.052086454,1,14605.221668720245,0.0,831.525,1.5866098,433.0954,1617,0.052086454
0.010745112,0.14138644933700562,944856,3041.956225150477,0.05314169,1,14614.877877235413,0.0,849.175,1.6093948,441.10663,1618,0.05314169
0.011506931,0.17178034782409668,945856,3042.056026496968,0.046610564,1,14624.517830610275,0.0,849.175,1.5945653,441.8073,1619,0.046610564
0.01254466,0.1719532012939453,946856,3042.6059882160794,0.039004087,1,14634.18381357193,0.0,849.175,1.5723228,442.4874,1620,0.039004087
0.0099420445,0.20012551546096802,947856,3093.2967179910147,0.05027867,1,14643.851043701172,0.0,864.0,1.5478299,449.24268,1621,0.05027867
0.011194609,0.8285899609327316,948856,3095.1159652549527,0.06300258,1,14655.601987838745,0.0,864.0,1.5588104,450.84717,1622,0.06300258
0.010553714,0.2360624074935913,949856,3157.035062625375,0.043700743,1,14666.741949796677,0.0,881.725,1.5314332,458.57413,1623,0.043700743
0.010620754,0.9509592801332474,951425,3191.006782314614,0.07683157,2,14676.446601867676,0.0,889.625,1.5571061,466.29443,1625,0.07683157
0.010096286,0.21847039461135864,952425,3191.2610302535804,0.041379854,1,14685.924811124802,0.0,889.625,1.5614375,466.49493,1626,0.041379854
0.0122304205,0.24964988231658936,953425,3190.932537745227,0.054788373,1,14695.684206962585,0.0,889.625,1.565167,465.8548,1627,0.054788373
0.014174021,0.20724409818649292,954425,3191.6877329857216,0.047188085,1,14705.731414079666,0.0,889.625,1.5943068,466.2264,1628,0.047188085
0.012102693,0.2799580693244934,955425,3190.1679544832323,0.042224377,1,14715.345916032791,0.0,889.625,1.5900851,464.49594,1629,0.042224377
0.013471195,0.2647581100463867,956425,3254.4406893264836,0.04883598,1,14724.995294570923,0.0,907.9,1.5844026,473.85358,1630,0.04883598
0.011604773,0.9445560947060585,956740,3191.905399402447,0.060724985,1,14734.764715194702,0.0,890.775,1.55601,467.09756,1631,0.060724985
0.013596894,0.9666813239455223,957205,3144.394028564945,0.06295194,1,14744.328984737396,0.0,877.4,1.5649855,461.56982,1632,0.06295194
0.010763372,0.6691721975803375,958644,3113.8560047412857,0.048596844,2,14754.019742488861,0.0,868.975,1.5530471,461.17706,1634,0.048596844
0.011180205,0.8926188126206398,959644,3115.8070597165192,0.070749015,1,14763.573028564453,0.0,868.975,1.5332565,463.63452,1635,0.070749015
0.010593256,0.9736094456166029,960511,3018.0768712132135,0.06149905,2,14773.475967884064,0.0,841.7,1.5226687,453.86386,1637,0.06149905
0.012232317,0.989429340697825,961341,2916.0495616442654,0.07229397,2,14783.076360225677,0.0,812.45,1.5476599,443.40732,1639,0.07229397
0.0044488464,0.9644244015216827,962171,2821.356078846319,0.04099223,2,14792.974334001541,0.0,786.35,1.537893,433.11026,1641,0.04099223
0.011179877,0.9907973036170006,963320,2786.259602140167,0.06629694,2,14802.882628917694,0.0,775.05,1.5072681,430.5158,1643,0.06629694
0.010291296,0.9364373981952667,964320,2789.557369730509,0.064515114,1,14818.73057794571,0.0,775.05,1.5095532,433.09488,1644,0.064515114
0.010681268,0.9838758744299412,965012,2765.6588474079113,0.07069196,1,14828.604850292206,0.0,767.35,1.5229148,431.15,1645,0.07069196
0.010700019,0.9896315196529031,965625,2670.6154867305536,0.0638702,2,14838.248564004898,0.0,741.4,1.5279679,418.58463,1647,0.0638702
0.011722013,0.9632422998547554,966389,2669.999271253023,0.05977891,1,14847.973898649216,0.0,741.0,1.5158808,418.24677,1648,0.05977891
0.011644841,0.3095565438270569,967389,2688.3486974785483,0.0530061,1,14857.710524559021,0.0,746.8,1.515748,419.52115,1649,0.0530061
0.011331784,0.0760985016822815,968389,2722.1513825325324,0.05133404,1,14867.300899505615,0.0,756.85,1.5056733,422.95978,1650,0.05133404
0.011743048,0.7567225992679596,969731,2722.933992909408,0.048531726,2,14876.872330188751,0.0,756.975,1.5249147,421.20532,1652,0.048531726
0.011814436,0.988432209007442,970850,2701.617587471811,0.062346432,2,14887.47543311119,0.0,749.85,1.5356898,417.77173,1654,0.062346432
0.010587534,0.9861861933022738,971502,2584.7588772422364,0.055596873,2,14897.176409482956,0.0,716.15,1.5505323,402.40182,1656,0.055596873
0.011163775,0.7702158093452454,972729,2517.818099250771,0.044351295,2,14912.447316646576,0.0,696.825,1.5123683,393.28546,1658,0.044351295
