EpRewMean,meankl,EpTrueRewMean,EpThisIter,EpisodesSoFar,TimestepsSoFar,entropy,EpLenMean,ev_tdlam_before,entloss,surrgain,TimeElapsed,optimgain
1845.6624099580836,0.00818144,1845.6624099580836,1,416,352587,7.2352285,765.625,0.6341408789157867,0.0,0.10329202,464.48706698417664,0.10329202
1900.1682402916776,0.008146649,1900.1682402916776,1,417,355587,7.217286,785.15,-0.05617856979370117,0.0,0.06675272,468.4602677822113,0.06675272
1956.5323941947631,0.008225149,1956.5323941947631,2,419,360651,7.2194047,796.95,0.4618986248970032,0.0,0.09440023,472.4672348499298,0.09440023
1988.2831611378074,0.008596202,1988.2831611378074,1,420,363600,7.186341,808.525,0.7903459966182709,0.0,0.114100404,476.49130034446716,0.114100404
2017.8997198946236,0.008923778,2017.8997198946236,1,421,366600,7.16272,818.7,0.03537076711654663,0.0,0.07689634,480.4912323951721,0.07689634
1992.1864375579903,0.008222148,1992.1864375579903,2,423,370437,7.152043,804.05,0.31048470735549927,0.0,0.07121311,484.37473344802856,0.07121311
1954.8060226360328,0.007858745,1954.8060226360328,2,425,374157,7.146669,786.475,0.5829384624958038,0.0,0.0868078,488.3126337528229,0.0868078
1970.9532980001459,0.008278003,1970.9532980001459,1,426,377157,7.157975,792.975,0.10313922166824341,0.0,0.068404466,492.3281137943268,0.068404466
2006.2472227921958,0.007238618,2006.2472227921958,1,427,380157,7.154345,806.075,0.2016294002532959,0.0,0.09179274,496.3686451911926,0.09179274
1943.9710188492081,0.007991443,1943.9710188492081,2,429,383067,7.1602945,780.325,0.8515383005142212,0.0,0.0856441,500.40614557266235,0.0856441
1868.9831903966926,0.008338655,1868.9831903966926,2,431,385635,7.159423,752.85,0.8274509310722351,0.0,0.11781141,504.45372772216797,0.11781141
1888.3476122480727,0.008729879,1888.3476122480727,1,432,386991,7.1778426,759.35,0.7997996956110001,0.0,0.11121882,508.47590613365173,0.11121882
1846.455071585533,0.009006986,1846.455071585533,3,435,390489,7.1692495,740.775,0.8306149393320084,0.0,0.1019305,512.5440967082977,0.1019305
1849.6455634842691,0.008686467,1849.6455634842691,2,437,394776,7.167357,735.45,0.6292016804218292,0.0,0.074449316,516.545969247818,0.074449316
1853.988658035676,0.009209284,1853.988658035676,1,438,397776,7.164734,735.45,-0.030501484870910645,0.0,0.11178368,520.5921394824982,0.11178368
1851.6528884571483,0.007908149,1851.6528884571483,1,439,400776,7.180843,735.45,0.25783783197402954,0.0,0.07219659,524.6067185401917,0.07219659
1821.0337043384438,0.0083222,1821.0337043384438,2,441,405420,7.1761637,724.15,0.8988412693142891,0.0,0.09694275,528.7177526950836,0.09694275
1825.8111644625853,0.00809022,1825.8111644625853,1,442,408420,7.1719327,724.15,0.15402895212173462,0.0,0.07225668,532.6325736045837,0.07225668
1875.1303405745402,0.007832028,1875.1303405745402,1,443,411420,7.161076,740.7,0.33066320419311523,0.0,0.11914029,536.6658692359924,0.11914029
1908.057712856485,0.00819521,1908.057712856485,1,444,414420,7.1574235,753.1,0.10399377346038818,0.0,0.07937517,540.6747314929962,0.07937517
1939.9438287965627,0.008277223,1939.9438287965627,1,445,417420,7.1434317,765.2,-0.006172776222229004,0.0,0.10574722,544.6760213375092,0.10574722
1941.30251610993,0.008093424,1941.30251610993,1,446,420420,7.1569686,765.2,-0.15967905521392822,0.0,0.07762635,548.679854631424,0.07762635
1959.3800375557707,0.008218175,1959.3800375557707,1,447,423420,7.168576,765.2,0.29677814245224,0.0,0.091144234,552.6765172481537,0.091144234
1906.553272285665,0.008056,1906.553272285665,2,449,426471,7.161242,741.65,0.8707932680845261,0.0,0.09995599,556.7648165225983,0.09995599
1892.41461717206,0.008884466,1892.41461717206,1,450,428664,7.1471996,734.925,0.789440244436264,0.0,0.10021568,560.8164675235748,0.10021568
1908.0193385898717,0.007942903,1908.0193385898717,1,451,431664,7.150638,740.8,-0.0036660432815551758,0.0,0.08085404,564.8546602725983,0.08085404
1911.7719552953538,0.008011488,1911.7719552953538,1,452,434664,7.1415243,740.8,0.03986722230911255,0.0,0.07180246,568.8793523311615,0.07180246
1913.2571791057192,0.00893002,1913.2571791057192,2,454,439419,7.139343,735.475,0.9426588155329227,0.0,0.09305431,572.892003774643,0.09305431
1972.68345034,0.009023114,1972.68345034,1,455,442419,7.1342764,754.425,-0.02870917320251465,0.0,0.075336516,576.8937804698944,0.075336516
2024.989550394958,0.0084160045,2024.989550394958,1,456,445419,7.1456265,773.6,-0.17102980613708496,0.0,0.07775934,580.994607925415,0.07775934
2032.4334241390516,0.009171428,2032.4334241390516,1,457,448419,7.1530156,773.6,-0.1324770450592041,0.0,0.081599385,585.176513671875,0.081599385
2032.112427070122,0.008435915,2032.112427070122,1,458,451419,7.1463494,773.6,0.14435046911239624,0.0,0.07429333,589.3038699626923,0.07429333
1984.3066497560708,0.008381985,1984.3066497560708,2,460,454281,7.1512895,755.675,0.783937081694603,0.0,0.10098808,593.3634724617004,0.10098808
1967.1886479480793,0.009325042,1967.1886479480793,1,461,455967,7.135149,744.725,0.6973443925380707,0.0,0.1627082,597.3838472366333,0.1627082
2008.32142553864,0.008586341,2008.32142553864,1,462,458454,7.135921,758.475,0.85773104429245,0.0,0.13936993,601.464587688446,0.13936993
2008.049408119839,0.008672418,2008.049408119839,1,463,460983,7.1209273,754.55,0.9146536216139793,0.0,0.09686206,605.569910287857,0.09686206
2012.982519380767,0.008061698,2012.982519380767,1,464,463983,7.1156135,754.55,0.039966464042663574,0.0,0.07190356,609.574568271637,0.07190356
2068.519399457665,0.007739787,2068.519399457665,1,465,466983,7.112792,773.55,0.08246248960494995,0.0,0.079782605,613.6044132709503,0.079782605
2036.536999248297,0.009268717,2036.536999248297,2,467,471189,7.105607,758.6,0.5523751676082611,0.0,0.09779571,617.6047592163086,0.09779571
2096.333272141316,0.008082792,2096.333272141316,1,468,474189,7.109681,777.65,0.23310118913650513,0.0,0.08399217,621.6596691608429,0.08399217
2123.268101459233,0.00928081,2123.268101459233,1,469,477189,7.099409,784.35,0.08623528480529785,0.0,0.08575438,625.6587343215942,0.08575438
2155.1856120188954,0.009683924,2155.1856120188954,1,470,480189,7.0786176,794.9,0.7873968183994293,0.0,0.09942867,629.608690738678,0.09942867
2210.951061902523,0.009577807,2210.951061902523,1,471,483189,7.067997,812.95,-0.0006392002105712891,0.0,0.09362838,633.6102066040039,0.09362838
2200.5885213635347,0.008196125,2200.5885213635347,3,474,486693,7.056209,806.6,0.8852918818593025,0.0,0.10478015,637.5803809165955,0.10478015
2242.5458630151734,0.007899262,2242.5458630151734,2,476,491334,7.0354166,815.375,0.6400430798530579,0.0,0.0846549,641.546984910965,0.0846549
2159.82378335994,0.009214131,2159.82378335994,3,479,494829,6.985216,783.775,0.8088123798370361,0.0,0.10135794,645.6465320587158,0.10135794
2133.801373144169,0.009133115,2133.801373144169,2,481,497943,6.9652753,771.025,0.9208226799964905,0.0,0.09484635,649.6248474121094,0.09484635
2010.2916935126354,0.009090522,2010.2916935126354,3,484,501519,6.955702,725.825,0.7877047061920166,0.0,0.10886827,653.7234892845154,0.10886827
1977.6222275558127,0.009805732,1977.6222275558127,2,486,505833,6.9548955,711.775,0.8626578450202942,0.0,0.09334666,657.8071420192719,0.09334666
1962.7337389988984,0.009227504,1962.7337389988984,1,487,508059,6.973711,705.325,0.9011272490024567,0.0,0.09038254,661.8031332492828,0.09038254
1993.898218232578,0.0088816965,1993.898218232578,2,489,513096,6.956499,721.875,0.716140627861023,0.0,0.08304012,665.8605892658234,0.08304012
1983.3405565617873,0.008353781,1983.3405565617873,1,490,515298,6.969404,721.95,0.8698019236326218,0.0,0.11284988,669.8656237125397,0.11284988
1955.420292681764,0.00874105,1955.420292681764,1,491,518298,6.987379,721.95,0.323724627494812,0.0,0.080893576,673.909854888916,0.080893576
1951.0000876824793,0.009475732,1951.0000876824793,2,493,523035,6.986507,717.15,0.7039029896259308,0.0,0.07779144,677.9885423183441,0.07779144
1916.8852873360988,0.009210592,1916.8852873360988,1,494,524268,6.9848056,707.075,0.8959707319736481,0.0,0.12002068,682.0710701942444,0.12002068
1922.237344382214,0.009035597,1922.237344382214,1,495,527268,7.017501,707.075,0.10444378852844238,0.0,0.0837706,686.0480103492737,0.0837706
1936.0983691612942,0.009793811,1936.0983691612942,1,496,530268,6.9815197,707.075,0.07204306125640869,0.0,0.08768161,690.08447098732,0.08768161
1939.571061781804,0.009595384,1939.571061781804,1,497,533268,6.9526196,707.075,0.2901303768157959,0.0,0.07790283,694.1470186710358,0.07790283
1942.4502096808224,0.008679748,1942.4502096808224,1,498,536091,6.937379,705.6,0.8903432041406631,0.0,0.0931399,698.2336227893829,0.0931399
1966.471933647505,0.008963029,1966.471933647505,1,499,539091,6.9201655,712.075,0.280945360660553,0.0,0.08435105,702.2601714134216,0.08435105
2022.7442908977769,0.01021664,2022.7442908977769,1,500,542091,6.9125543,731.75,0.05294150114059448,0.0,0.08051311,706.3399815559387,0.08051311
2000.6749454749352,0.008797057,2000.6749454749352,2,502,545214,6.9095902,723.0,0.9188075885176659,0.0,0.11166251,710.4009459018707,0.11166251
1955.3113878135227,0.009080326,1955.3113878135227,2,504,548802,6.891545,706.825,0.9573460333049297,0.0,0.101822846,714.4426691532135,0.101822846
1961.5784634567233,0.00936266,1961.5784634567233,1,505,551802,6.8980236,706.825,0.07147908210754395,0.0,0.08699492,718.5140216350555,0.08699492
1971.1519206308003,0.009684656,1971.1519206308003,1,506,554802,6.8961186,706.825,0.37995702028274536,0.0,0.09491299,722.5234677791595,0.09491299
1999.0725613816926,0.009680273,1999.0725613816926,1,507,557286,6.899001,717.475,0.8492091149091721,0.0,0.116201326,726.5295085906982,0.116201326
1995.3276975950714,0.009362407,1995.3276975950714,1,508,560286,6.8926954,717.475,0.043398499488830566,0.0,0.08038265,730.583518743515,0.08038265
1995.701103820144,0.008814156,1995.701103820144,1,509,563286,6.886296,717.475,0.26141732931137085,0.0,0.08695289,734.7235419750214,0.08695289
1996.0456431831742,0.007734314,1996.0456431831742,1,510,566286,6.8835273,717.475,-0.030238986015319824,0.0,0.078005284,738.7461309432983,0.078005284
1963.325573241939,0.00913571,1963.325573241939,2,512,570006,6.905517,709.8,0.8116363435983658,0.0,0.08823782,742.7929470539093,0.08823782
2004.6825189273536,0.010872301,2004.6825189273536,1,513,572865,6.895339,724.65,0.8001564145088196,0.0,0.16939196,746.7295966148376,0.16939196
2045.686996075027,0.008535151,2045.686996075027,1,514,575865,6.9138927,743.1,0.19170570373535156,0.0,0.07411532,750.723240852356,0.07411532
2045.3598943342026,0.010334985,2045.3598943342026,1,515,578865,6.9026346,743.1,0.5521261692047119,0.0,0.09466824,754.7295081615448,0.09466824
2072.922135113955,0.008978126,2072.922135113955,1,516,581865,6.88617,754.425,0.11163723468780518,0.0,0.086504385,758.8087439537048,0.086504385
2089.9028473088474,0.008668805,2089.9028473088474,1,517,584865,6.8867173,760.35,0.02516353130340576,0.0,0.093952164,762.8454124927521,0.093952164
2157.5154785138966,0.008929904,2157.5154785138966,1,518,587865,6.863569,780.55,0.12735813856124878,0.0,0.08184271,766.9626870155334,0.08184271
2219.2724030930854,0.008668508,2219.2724030930854,1,519,590865,6.8710947,800.3,0.17865055799484253,0.0,0.06586115,771.0210886001587,0.06586115
2234.9624292715425,0.00862562,2234.9624292715425,1,520,593865,6.8387585,807.0,0.280511736869812,0.0,0.06275067,775.0876686573029,0.06275067
2287.7752606412023,0.00878283,2287.7752606412023,1,521,596865,6.8296547,824.35,0.7291958630084991,0.0,0.08092877,779.2021815776825,0.08092877
2313.787201208442,0.009086243,2313.787201208442,1,522,599865,6.8468633,834.3,0.05111271142959595,0.0,0.089445695,783.311354637146,0.089445695
2362.117176831008,0.009246338,2362.117176831008,1,523,602865,6.855882,853.225,0.6097784638404846,0.0,0.0827007,787.3945865631104,0.0827007
2409.566554339867,0.009081738,2409.566554339867,1,524,605865,6.867493,869.55,0.19230198860168457,0.0,0.070377365,791.441633939743,0.070377365
2424.9898837008755,0.0092879515,2424.9898837008755,1,525,608865,6.846269,871.425,0.8260888755321503,0.0,0.14043435,795.5644207000732,0.14043435
2466.54809028157,0.009902172,2466.54809028157,1,526,611865,6.907165,883.6,0.0483970046043396,0.0,0.083384335,799.5630869865417,0.083384335
2442.862731802875,0.009229833,2442.862731802875,1,527,613380,6.8839736,877.675,0.6254905760288239,0.0,0.11885542,803.6265287399292,0.11885542
2456.449444566372,0.009661751,2456.449444566372,2,529,618219,6.9044194,876.025,0.5775591135025024,0.0,0.083057314,807.6257231235504,0.083057314
2420.069469523373,0.0093009155,2420.069469523373,3,532,622971,6.9253545,847.275,0.8251279443502426,0.0,0.10246916,811.9113912582397,0.10246916
2440.718757331321,0.0092463195,2440.718757331321,1,533,625971,6.8920274,857.8,0.5517241060733795,0.0,0.14174387,815.9865684509277,0.14174387
2476.5489708093532,0.009338961,2476.5489708093532,1,534,628620,6.91783,869.6,0.8907302841544151,0.0,0.0919984,820.0849575996399,0.0919984
2474.7594710180865,0.008791407,2474.7594710180865,1,535,631620,6.9183974,869.6,-0.10739529132843018,0.0,0.0960778,824.1346564292908,0.0960778
2475.823423739473,0.010243907,2475.823423739473,1,536,634620,6.923109,869.6,0.48742246627807617,0.0,0.096296296,828.0735712051392,0.096296296
2475.9989362937617,0.008542167,2475.9989362937617,1,537,637620,6.908875,869.6,0.3202817440032959,0.0,0.083696276,832.1261024475098,0.083696276
2452.9994876882874,0.010180166,2452.9994876882874,1,538,639546,6.9320674,862.125,0.7833199948072433,0.0,0.13857692,836.1392900943756,0.13857692
2453.9723050494053,0.010712605,2453.9723050494053,1,539,642546,6.9619126,862.125,0.13902711868286133,0.0,0.073133305,840.2368500232697,0.073133305
2406.026444788776,0.009209264,2406.026444788776,2,541,645885,6.97243,848.05,0.7941571027040482,0.0,0.09549873,844.3644368648529,0.09549873
2463.3134800749212,0.009176506,2463.3134800749212,1,542,648885,6.9818554,863.925,-0.00957036018371582,0.0,0.09203534,848.305243730545,0.09203534
2506.375360762543,0.008851942,2506.375360762543,1,543,651885,6.9727335,878.45,0.13032293319702148,0.0,0.080392376,852.4418058395386,0.080392376
2470.044263706396,0.009511033,2470.044263706396,2,545,655758,6.9584975,866.3,0.8528686910867691,0.0,0.10167712,856.4745755195618,0.10167712
2467.3398153162766,0.008930321,2467.3398153162766,1,546,658674,6.9560995,865.6,0.6306217908859253,0.0,0.12523633,860.4712250232697,0.12523633
2485.717572930002,0.009275062,2485.717572930002,1,547,661542,6.940687,868.8,0.6874548196792603,0.0,0.09758763,864.4753386974335,0.09758763
2439.4083117075365,0.010273498,2439.4083117075365,1,548,662529,6.909502,852.025,0.8496201783418655,0.0,0.16558674,868.5624907016754,0.16558674
2447.3456246153555,0.008365536,2447.3456246153555,1,549,665529,6.902144,852.025,0.2758597731590271,0.0,0.08251715,872.6038138866425,0.08251715
2451.9807928124137,0.0092324205,2451.9807928124137,1,550,668529,6.8887806,852.025,0.6493341028690338,0.0,0.11041272,876.615033864975,0.11041272
2456.755633086283,0.00925494,2456.755633086283,2,552,672228,6.89836,851.85,0.6292365789413452,0.0,0.097615466,880.6527154445648,0.097615466
2472.8408251183914,0.009486484,2472.8408251183914,1,553,675228,6.889785,853.025,0.22701245546340942,0.0,0.09319461,884.708491563797,0.09319461
2496.1556925228883,0.009543078,2496.1556925228883,1,554,678228,6.8697677,853.025,0.1410207748413086,0.0,0.077606015,888.7429051399231,0.077606015
2506.3194303899386,0.009112585,2506.3194303899386,1,555,681228,6.8384366,853.025,0.8699679374694824,0.0,0.10626949,892.8418428897858,0.10626949
2512.978938239847,0.010039735,2512.978938239847,1,556,684228,6.849854,853.025,0.13786369562149048,0.0,0.07657926,896.8124833106995,0.07657926
2520.324510188374,0.009867681,2520.324510188374,1,557,687228,6.818724,853.025,0.20292973518371582,0.0,0.09627308,900.8189210891724,0.09627308
2507.013572942192,0.009704756,2507.013572942192,1,558,690228,6.7988105,853.025,-0.3193322420120239,0.0,0.12914285,904.8622708320618,0.12914285
2506.7655433829373,0.008750722,2506.7655433829373,1,559,693228,6.780866,853.025,-0.27889692783355713,0.0,0.09436534,908.975469827652,0.09436534
2519.4517131320504,0.009638155,2519.4517131320504,1,560,696219,6.729366,852.95,0.8021330386400223,0.0,0.110638425,913.0833787918091,0.110638425
2521.299634522428,0.009786878,2521.299634522428,1,561,699219,6.733276,852.95,0.12493973970413208,0.0,0.078881346,917.1791086196899,0.078881346
2487.62402864018,0.009284704,2487.62402864018,2,563,702999,6.778992,834.45,0.5971220135688782,0.0,0.09567861,921.1917827129364,0.09567861
2490.5806802557495,0.010066397,2490.5806802557495,1,564,705999,6.7714057,834.45,0.14688777923583984,0.0,0.080954716,925.2747867107391,0.080954716
2487.623526979574,0.009577418,2487.623526979574,1,565,708999,6.7642646,834.45,-0.40915238857269287,0.0,0.10134087,929.3748865127563,0.10134087
2489.7422447409795,0.009781472,2489.7422447409795,1,566,711999,6.7673984,834.45,0.025179564952850342,0.0,0.078914866,933.4337046146393,0.078914866
2434.2289459555045,0.010104071,2434.2289459555045,3,569,716496,6.782366,818.975,0.8854154646396637,0.0,0.097353175,937.518107175827,0.097353175
2454.585550828487,0.009099091,2454.585550828487,1,570,719496,6.767513,825.1,0.37826406955718994,0.0,0.08539968,941.5864160060883,0.08539968
2522.728964241153,0.00931631,2522.728964241153,1,571,722496,6.7648964,844.175,-0.09844911098480225,0.0,0.106224,945.5339713096619,0.106224
2550.749500212446,0.008832213,2550.749500212446,1,572,725496,6.7341127,854.375,0.09995174407958984,0.0,0.07408473,949.5779023170471,0.07408473
2569.0339321669153,0.009469219,2569.0339321669153,1,573,728496,6.7663565,854.375,-0.24894654750823975,0.0,0.09267636,953.6140923500061,0.09267636
2581.231328937997,0.0098348195,2581.231328937997,1,574,731496,6.7418256,857.3,0.02341306209564209,0.0,0.11496652,957.6097848415375,0.11496652
2509.2531430954014,0.00990773,2509.2531430954014,2,576,735069,6.7225943,837.075,0.8138722777366638,0.0,0.11054565,961.6378650665283,0.11054565
2467.140069642025,0.010029376,2467.140069642025,2,578,738894,6.66286,827.9,0.5187427401542664,0.0,0.09732689,965.7968654632568,0.09732689
2471.0108629767774,0.01008392,2471.0108629767774,1,579,741894,6.704159,827.9,0.3611994981765747,0.0,0.08593185,969.8064749240875,0.08593185
2539.208260997925,0.009396256,2539.208260997925,2,581,747246,6.710528,844.675,0.5747207999229431,0.0,0.08632843,973.82381939888,0.08632843
2540.2655384868203,0.009288638,2540.2655384868203,1,582,750246,6.672608,844.675,0.1485084891319275,0.0,0.073377274,977.8168497085571,0.073377274
2546.113741829928,0.009253549,2546.113741829928,1,583,753246,6.7100267,844.675,0.2115265130996704,0.0,0.09175284,981.9028544425964,0.09175284
