meankl,TimestepsSoFar,entropy,ev_tdlam_before,surrgain,EpThisIter,TimeElapsed,optimgain,EpRewMean,EpTrueRewMean,EpLenMean,EpisodesSoFar,entloss
0.010477213,223482,23.177801,0.6421528458595276,0.2511766,12,471.5496919155121,0.2511766,54.07707,379.86240741095537,77.575,1232,0.0
0.011213576,226596,23.202902,0.7741676419973373,0.31416926,13,478.061217546463,0.31416926,57.922066,392.98906298454216,79.775,1245,0.0
0.011749539,229584,23.186033,0.8186366856098175,0.26777464,11,484.55474638938904,0.26777464,62.52107,412.6645627569751,83.5,1256,0.0
0.011236116,232701,23.1827,0.8250571936368942,0.22846973,12,491.05611276626587,0.22846973,59.48998,410.3283998042963,83.325,1268,0.0
0.011103577,235728,23.184576,0.838175356388092,0.23191677,12,497.55232191085815,0.23191677,59.1396,419.77270631981503,85.475,1280,0.0
0.011167104,238932,23.191404,0.8181139975786209,0.23166159,13,504.1023819446564,0.23166159,56.16405,409.6467949624587,83.7,1293,0.0
0.011432575,242130,23.184553,0.8088312596082687,0.24195069,14,510.60021567344666,0.24195069,53.98358,392.12124291974425,80.325,1307,0.0
0.011631165,245358,23.171614,0.8574602603912354,0.26781207,10,517.0992391109467,0.26781207,59.97524,427.79524028578817,87.6,1317,0.0
0.011273993,248568,23.184637,0.8640765696763992,0.22925527,12,523.5733642578125,0.22925527,62.041412,440.5138274761801,89.65,1329,0.0
0.010769846,251613,23.183756,0.802382305264473,0.22889882,14,530.1627106666565,0.22889882,58.20232,420.8769234273879,86.125,1343,0.0
0.010719833,254670,23.160872,0.8201223462820053,0.23242548,12,536.6148934364319,0.23242548,55.990314,408.89103168864017,83.225,1355,0.0
0.010542472,257589,23.167257,0.7513278275728226,0.24048232,11,543.1152648925781,0.24048232,55.96798,403.09198262214846,81.375,1366,0.0
0.012482969,260475,23.156492,0.8767030909657478,0.43747747,12,549.5215859413147,0.43747747,58.979668,414.560324264206,82.2,1378,0.0
0.011545344,263727,23.165596,0.8261905610561371,0.25426102,14,555.943835735321,0.25426102,56.529457,403.2989465294545,81.3,1392,0.0
0.011710076,266817,23.158384,0.8374552130699158,0.28734398,13,562.4834115505219,0.28734398,53.175293,390.60608212628017,79.325,1405,0.0
0.010662198,269916,23.157402,0.7765009999275208,0.21394342,13,568.9790947437286,0.21394342,50.80133,380.92803199264836,78.675,1418,0.0
0.011512615,273099,23.152748,0.8148654997348785,0.25127363,13,575.6321363449097,0.25127363,55.42224,388.51399304288253,79.575,1431,0.0
0.011232033,276030,23.156488,0.8424551486968994,0.25219434,12,582.1245577335358,0.25219434,56.757263,400.7299309137367,81.425,1443,0.0
0.010923585,279330,23.170427,0.8635142743587494,0.25500277,14,588.681131362915,0.25500277,56.74198,401.0287180582694,80.625,1457,0.0
0.010998675,282582,23.167234,0.7747039496898651,0.21900846,15,595.0606200695038,0.21900846,50.756622,388.31950700974176,77.225,1472,0.0
0.012130361,285618,23.158197,0.7946196645498276,0.4588847,12,601.5834107398987,0.4588847,50.54515,383.06165441768553,76.75,1484,0.0
0.013381292,288792,23.143793,0.8570581525564194,0.39209092,13,608.1251945495605,0.39209092,51.374092,397.30871318881907,78.85,1497,0.0
0.01096481,291873,23.118084,0.7830384224653244,0.26361245,13,614.6375110149384,0.26361245,53.856865,408.50423241796585,81.125,1510,0.0
0.012543092,294873,23.11214,0.8206573128700256,0.23775235,13,621.3426058292389,0.23775235,53.318504,402.17969450111707,79.775,1523,0.0
0.011017881,297909,23.110353,0.8375399857759476,0.23705912,12,627.9057002067566,0.23705912,56.31147,396.39421242565993,80.15,1535,0.0
0.0120713385,301104,23.12158,0.8292495906352997,0.23383784,11,634.3682653903961,0.23383784,60.92234,416.8835073667762,85.225,1546,0.0
0.01196669,304014,23.103048,0.8173014670610428,0.2340185,12,640.899322271347,0.2340185,61.132496,416.7409921167443,85.525,1558,0.0
0.011208066,307305,23.105715,0.8788998052477837,0.24700242,13,647.4914364814758,0.24700242,60.215607,422.88848617337374,86.775,1571,0.0
