EpLenMean,EpThisIter,EpRewMean,entloss,TimestepsSoFar,TimeElapsed,EpTrueRewMean,surrgain,ev_tdlam_before,meankl,EpisodesSoFar,optimgain,entropy
743.0,2,1755.4788274205232,0.0,302430,383.1541233062744,1755.4788274205232,0.089395896,0.8930682092905045,0.007949213,406,0.089395896,7.621948
761.325,1,1804.4462692811708,0.0,305430,387.0244998931885,1804.4462692811708,0.07357842,-0.2174217700958252,0.008907947,407,0.07357842,7.6249385
751.675,1,1788.5930176775423,0.0,307272,391.0524711608887,1788.5930176775423,0.088178955,0.9201858565211296,0.007751467,408,0.088178955,7.6107826
742.975,2,1754.1282717664715,0.0,310845,394.8248267173767,1754.1282717664715,0.0722356,0.8183586150407791,0.007988917,410,0.0722356,7.6306143
745.5,1,1761.2482799086324,0.0,312354,398.63459396362305,1761.2482799086324,0.09431046,0.9246978014707565,0.007892798,411,0.09431046,7.623886
758.075,1,1793.639477075708,0.0,315354,402.42528557777405,1793.639477075708,0.06438357,0.17002743482589722,0.007086763,412,0.06438357,7.6250486
750.0,2,1780.758587107283,0.0,319452,406.2619261741638,1780.758587107283,0.08249442,0.9240097180008888,0.0075962953,414,0.08249442,7.642696
746.9,1,1790.949801388869,0.0,322080,410.0843005180359,1790.949801388869,0.08845991,0.887009859085083,0.008678355,415,0.08845991,7.6209726
734.05,2,1757.2432455521753,0.0,326229,413.9679720401764,1757.2432455521753,0.08253685,0.8930605724453926,0.0074195415,417,0.08253685,7.612292
739.625,1,1773.0172715102642,0.0,328641,417.78880548477173,1773.0172715102642,0.091127425,0.9075835347175598,0.0074979123,418,0.091127425,7.59961
758.35,1,1822.5547854183885,0.0,331641,421.5888969898224,1822.5547854183885,0.082718246,0.10606157779693604,0.00789279,419,0.082718246,7.5902066
762.05,1,1830.8047563104756,0.0,334641,425.42961740493774,1830.8047563104756,0.080923244,0.4340306520462036,0.0075541697,420,0.080923244,7.5554323
775.375,1,1863.4827122766048,0.0,337641,429.2369296550751,1863.4827122766048,0.09234804,0.6079336702823639,0.009165822,421,0.09234804,7.5665445
776.875,1,1868.512704985094,0.0,340641,433.0501492023468,1868.512704985094,0.07896316,0.03689795732498169,0.009083106,422,0.07896316,7.559628
795.85,1,1924.2750231065195,0.0,343641,436.9580132961273,1924.2750231065195,0.0923378,0.8470836728811264,0.008372981,423,0.0923378,7.5805087
795.85,1,1928.7727856383608,0.0,346641,440.77054715156555,1928.7727856383608,0.07977624,0.0970948338508606,0.008077044,424,0.07977624,7.565201
800.35,1,1957.3588136211079,0.0,348738,444.67374753952026,1957.3588136211079,0.08808443,0.8766510561108589,0.008193732,425,0.08808443,7.5452757
791.275,2,1961.8791698783111,0.0,353649,448.47856307029724,1961.8791698783111,0.07979201,0.8936241269111633,0.008161754,427,0.07979201,7.5474205
808.325,1,2004.7138338436391,0.0,356151,452.2969558238983,2004.7138338436391,0.102357924,0.7872648239135742,0.007836042,428,0.102357924,7.5286713
800.35,1,1998.440749526595,0.0,358194,456.15098237991333,1998.440749526595,0.09297253,0.9019743874669075,0.008233093,429,0.09297253,7.5482187
803.15,1,2024.3629247055742,0.0,361194,460.05057549476624,2024.3629247055742,0.09050065,0.18974220752716064,0.008934699,430,0.09050065,7.547043
813.4,1,2055.6497830575386,0.0,364194,463.8361599445343,2055.6497830575386,0.06975259,0.12249428033828735,0.008827008,431,0.06975259,7.559708
805.7,1,2045.0381931129668,0.0,366270,467.81314516067505,2045.0381931129668,0.096747026,0.8337407261133194,0.009367924,432,0.096747026,7.563541
810.175,1,2064.974109586548,0.0,369270,471.71169924736023,2064.974109586548,0.060957678,0.1502232551574707,0.00830065,433,0.060957678,7.5573606
813.975,1,2081.6820597874184,0.0,372213,475.5923955440521,2081.6820597874184,0.07054983,0.8050904124975204,0.008221588,434,0.07054983,7.5596323
805.925,2,2055.1262111964425,0.0,376098,479.558198928833,2055.1262111964425,0.09295362,0.8924805596470833,0.0077559194,436,0.09295362,7.546952
805.925,1,2063.018140261827,0.0,379098,483.47099781036377,2063.018140261827,0.073128715,0.13985294103622437,0.008579135,437,0.073128715,7.54524
795.45,1,2031.7337534805629,0.0,380841,487.28133845329285,2031.7337534805629,0.08266032,0.8974784389138222,0.0079551665,438,0.08266032,7.519227
773.675,3,1955.6386731038551,0.0,385938,491.15544748306274,1955.6386731038551,0.08780494,0.7841529697179794,0.00868468,441,0.08780494,7.5263796
782.75,1,1980.1641733131023,0.0,388938,495.0506098270416,1980.1641733131023,0.08520974,0.021004796028137207,0.008124152,442,0.08520974,7.5438266
791.45,1,1998.4271954171345,0.0,391938,498.93955874443054,1998.4271954171345,0.07166879,0.045085132122039795,0.008268615,443,0.07166879,7.5365725
791.45,1,2010.355901530574,0.0,394938,502.70532298088074,2010.355901530574,0.092185214,0.7066927850246429,0.007695682,444,0.092185214,7.514941
796.85,1,2029.6328160704707,0.0,397185,506.63937640190125,2029.6328160704707,0.13704792,0.8128984123468399,0.007968608,445,0.13704792,7.5283966
810.35,1,2059.7735583146596,0.0,399672,510.54243564605713,2059.7735583146596,0.07923305,0.8705978244543076,0.009210858,446,0.07923305,7.5399165
810.35,1,2067.3848941267606,0.0,402672,514.5363578796387,2067.3848941267606,0.10854593,0.8744844049215317,0.008274343,447,0.10854593,7.5371222
805.675,2,2066.5493741726536,0.0,406953,518.5575754642487,2066.5493741726536,0.095818534,0.8702762275934219,0.008638442,449,0.095818534,7.5036745
809.1,2,2077.6144002175934,0.0,409446,522.646849155426,2077.6144002175934,0.08561258,0.9324223324656487,0.0091982335,451,0.08561258,7.4913454
