EpRewMean,ev_tdlam_before,TimestepsSoFar,EpTrueRewMean,EpisodesSoFar,entropy,optimgain,surrgain,meankl,EpThisIter,EpLenMean,TimeElapsed,entloss
71.642784,0.8009558767080307,110535,348.73013180939677,715,23.682615,0.20116985,0.20116985,0.0097621875,13,72.1,321.8702371120453,0.0
75.43504,0.7783081829547882,113649,362.565915957519,728,23.695803,0.21244189,0.21244189,0.009113033,13,74.825,330.9813048839569,0.0
76.752396,0.8366673737764359,116733,373.7000023328459,742,23.671627,0.19165279,0.19165279,0.009411937,14,76.75,340.18694615364075,0.0
79.31854,0.8281268924474716,119856,373.4650930617486,756,23.654623,0.24631354,0.24631354,0.009938339,14,75.325,349.3498730659485,0.0
76.91929,0.8355367034673691,122907,369.4387356235323,769,23.660566,0.20280668,0.20280668,0.009989109,13,75.55,358.56305027008057,0.0
79.50822,0.7870300561189651,125916,377.5068089163567,782,23.642597,0.20080724,0.20080724,0.009270672,13,76.525,367.7662196159363,0.0
76.07158,0.847930520772934,129066,368.159188332622,797,23.629862,0.20212005,0.20212005,0.0099745635,15,75.325,376.9335026741028,0.0
76.31582,0.8426928967237473,131928,366.73227665624944,810,23.618143,0.20958295,0.20958295,0.009573797,13,74.075,386.1841537952423,0.0
75.19093,0.8746857643127441,134877,357.99325821509996,823,23.607174,0.19622433,0.19622433,0.009790001,13,72.575,395.32867670059204,0.0
79.22672,0.8449529707431793,138081,387.07442371119254,835,23.58132,0.22960064,0.22960064,0.010740019,12,78.425,404.501540184021,0.0
81.31084,0.8836481347680092,141312,406.57481943034577,848,23.574951,0.25228554,0.25228554,0.01110962,13,81.85,413.7080879211426,0.0
80.4538,0.7941854298114777,144504,416.8013445367545,861,23.55322,0.20903027,0.20903027,0.010428315,13,84.05,422.8220069408417,0.0
76.73558,0.8584588766098022,147690,395.6868924983885,875,23.552488,0.22838804,0.22838804,0.010478518,14,80.075,432.27952766418457,0.0
78.51282,0.7838665246963501,150735,405.06557755601807,886,23.55129,0.25578028,0.25578028,0.0106544215,11,82.375,441.5299196243286,0.0
84.214905,0.7776056826114655,153732,423.43368771889925,897,23.552244,0.23179118,0.23179118,0.010651109,11,85.85,450.7046751976013,0.0
85.703476,0.8176149427890778,156933,429.20170260206015,910,23.55866,0.20752737,0.20752737,0.01057846,13,87.45,459.88409948349,0.0
81.414246,0.8615486919879913,160092,411.00178508530587,923,23.563555,0.21723083,0.21723083,0.010496007,13,83.7,469.1445004940033,0.0
77.766174,0.868567630648613,163122,401.14413746785084,936,23.543291,0.19455624,0.19455624,0.011147907,13,81.6,478.3304934501648,0.0
73.937256,0.8621500730514526,166278,394.1648841225068,949,23.566326,0.2062116,0.2062116,0.011129685,13,80.125,487.5693814754486,0.0
75.38338,0.8964600712060928,169242,389.33548433802605,962,23.566713,0.21119764,0.21119764,0.010786252,13,78.775,496.7259683609009,0.0
