TimestepsSoFar,EpRewMean,EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,entloss,meankl,EpThisIter,EpLenMean,optimgain,TimeElapsed,surrgain,entropy
455585,138.1977,2457,200.0,0.6842950880527496,0.0,0.005510344,5,200.0,0.0060799606,2169.598269701004,0.0060799606,0.41462404
456585,135.77896,2462,200.0,0.43662744760513306,0.0,0.007800189,5,200.0,0.00919036,2176.1911017894745,0.00919036,0.4440986
457585,134.57622,2467,200.0,0.5859807729721069,0.0,0.00909477,5,200.0,0.014164023,2181.5090568065643,0.014164023,0.42117485
458585,132.91783,2472,200.0,0.6399851143360138,0.0,0.00806969,5,200.0,0.009790886,2187.77507686615,0.009790886,0.41393083
459585,132.40909,2477,200.0,0.6690926253795624,0.0,0.006871589,5,200.0,0.012691698,2193.5492775440216,0.012691698,0.41514573
460785,130.55661,2483,200.0,0.557307243347168,0.0,0.006249603,6,200.0,0.007804744,2200.9339656829834,0.007804744,0.4561808
461785,124.86662,2488,200.0,0.5974843502044678,0.0,0.0075279623,5,200.0,0.0074635674,2206.4426004886627,0.0074635674,0.46650943
462785,122.03837,2493,200.0,0.7939216196537018,0.0,0.007263302,5,200.0,0.009700151,2211.9835891723633,0.009700151,0.43466103
463785,116.915504,2498,200.0,0.519765317440033,0.0,0.005604226,5,200.0,0.0079257935,2218.2441523075104,0.0079257935,0.447532
464785,114.24928,2503,200.0,0.7665548175573349,0.0,0.00782228,5,200.0,0.0066028694,2223.8208537101746,0.0066028694,0.42686653
465767,111.70378,2508,199.55,0.671612560749054,0.0,0.006515179,5,199.55,0.015097156,2229.7705466747284,0.015097156,0.4249615
466767,110.92949,2513,199.55,0.5795513093471527,0.0,0.0074162795,5,199.55,0.0121832,2235.0166783332825,0.0121832,0.46168613
467962,107.82304,2519,199.425,0.4422110319137573,0.0,0.0076051336,6,199.425,0.010736208,2240.9849367141724,0.010736208,0.45502836
468962,106.17307,2524,199.425,0.8258740901947021,0.0,0.006487269,5,199.425,0.009123461,2247.0410566329956,0.009123461,0.43835676
469940,109.31038,2529,198.875,0.6077781915664673,0.0,0.005678618,5,198.875,0.011331102,2252.381409883499,0.011331102,0.42502022
470940,109.54539,2534,198.875,0.47536569833755493,0.0,0.0060399277,5,198.875,0.005225639,2257.5220050811768,0.005225639,0.43415028
472025,111.01686,2540,196.0,0.7653485387563705,0.0,0.006558298,6,196.0,0.019077724,2263.766293287277,0.019077724,0.38755935
473005,109.755394,2545,195.95,0.5797123610973358,0.0,0.00659883,5,195.95,0.013967163,2268.568794965744,0.013967163,0.4198041
473951,107.85641,2550,194.6,0.7834268510341644,0.0,0.003574101,5,194.6,0.0054840907,2274.273894071579,0.0054840907,0.40775776
475091,109.25188,2556,193.225,0.8064136505126953,0.0,0.0062359283,6,193.225,0.007184852,2280.1049013137817,0.007184852,0.40774405
476060,111.88356,2561,192.45,0.8260386288166046,0.0,0.010304849,5,192.45,0.01707454,2286.036454677582,0.01707454,0.40416738
477047,111.37224,2566,192.125,0.7731022536754608,0.0,0.007819241,5,192.125,0.013123613,2292.8429374694824,0.013123613,0.39418742
478047,110.01094,2571,192.675,0.7350630760192871,0.0,0.0068806387,5,192.675,0.005222478,2298.1773505210876,0.005222478,0.40673155
479040,109.560745,2576,194.3,0.7144451141357422,0.0,0.008096143,5,194.3,0.01275281,2303.9899554252625,0.01275281,0.41767037
480240,106.37321,2582,195.375,0.4909746050834656,0.0,0.0060170544,6,195.375,0.00846293,2309.4752938747406,0.00846293,0.42551708
481240,105.70018,2587,197.075,0.7916149497032166,0.0,0.007882278,5,197.075,0.012866815,2314.8632020950317,0.012866815,0.43409938
482230,101.81212,2592,198.475,0.35421067476272583,0.0,0.0064255334,5,198.475,0.009634685,2321.0640399456024,0.009634685,0.4704942
483230,97.582596,2597,198.475,0.7553669363260269,0.0,0.0075439755,5,198.475,0.007493901,2326.0711677074432,0.007493901,0.49357897
484209,93.88703,2602,198.725,0.6749892830848694,0.0,0.0070551923,5,198.725,0.010348524,2331.792802810669,0.010348524,0.48495078
485181,91.768974,2607,198.35,0.9078406095504761,0.0,0.00727785,5,198.35,0.010770925,2336.845733642578,0.010770925,0.45004398
486350,96.48027,2613,197.75,0.6448314785957336,0.0,0.0077072904,6,197.75,0.008461086,2341.6774084568024,0.008461086,0.41272473
487350,96.724106,2618,197.75,0.3438836336135864,0.0,0.004436122,5,197.75,0.0057377648,2347.0214467048645,0.0057377648,0.45630288
488313,103.93945,2623,196.825,0.9186397343873978,0.0,0.0076940977,5,196.825,0.0038508319,2352.1078641414642,0.0038508319,0.40407023
489295,107.06332,2628,196.625,0.7221522033214569,0.0,0.00715848,5,196.625,0.004720548,2357.07754611969,0.004720548,0.40338427
490484,114.85841,2634,196.35,0.7464787364006042,0.0,0.008820925,6,196.35,0.011572562,2362.2457797527313,0.011572562,0.41675228
491479,119.57377,2639,196.225,0.7495844066143036,0.0,0.007639116,5,196.225,0.008334024,2367.5280091762543,0.008334024,0.40103483
492478,124.65283,2644,197.425,0.8837753757834435,0.0,0.00668786,5,197.425,0.0049116244,2372.8223922252655,0.0049116244,0.37157154
493478,125.91876,2649,197.45,0.8980465605854988,0.0,0.0055423174,5,197.45,0.008224327,2378.3944747447968,0.008224327,0.41794753
494478,125.86178,2654,198.2,0.9111778140068054,0.0,0.009037207,5,198.2,0.0126938205,2383.80340719223,0.0126938205,0.40466544
495470,125.48415,2659,198.1,0.8869108930230141,0.0,0.009483689,5,198.1,0.009739278,2388.9605967998505,0.009739278,0.38580915
496470,123.82121,2664,198.925,0.8008460700511932,0.0,0.0082229655,5,198.925,0.013827862,2393.7897255420685,0.013827862,0.4393984
