TimestepsSoFar,ev_tdlam_before,EpRewMean,entropy,surrgain,EpLenMean,entloss,TimeElapsed,optimgain,EpisodesSoFar,meankl,EpThisIter,EpTrueRewMean
112062,0.03539001941680908,739.8657,3.9334407,0.0406733,683.775,0.0,129.72978734970093,0.0406733,149,0.0058650095,1,755.5487666430133
115062,0.007368147373199463,758.08734,3.9716508,0.033788998,703.075,0.0,133.31681156158447,0.033788998,150,0.0071208295,1,773.0318811109562
118062,-0.014238715171813965,776.58795,3.9384215,0.03851568,723.4,0.0,136.81802773475647,0.03851568,151,0.0067007,1,792.6762754443762
124062,-0.011867642402648926,809.4071,3.9212356,0.04181403,759.85,0.0,140.41664385795593,0.04181403,153,0.008256385,2,825.2678528937495
127062,-0.00558924674987793,830.9667,3.9224308,0.029648785,782.3,0.0,144.0902280807495,0.029648785,154,0.0069246544,1,848.7004967081048
130062,-0.408599853515625,844.1927,3.9385056,0.044753406,798.025,0.0,147.63251662254333,0.044753406,155,0.0060224263,1,862.7927187117378
132702,-0.02771151065826416,855.6315,3.9081347,0.04335741,811.65,0.0,151.1860225200653,0.04335741,156,0.008034948,1,874.0622949606417
136977,0.552424967288971,866.8551,3.8874493,0.047180027,828.6,0.0,154.78387212753296,0.047180027,158,0.006794405,2,881.9003329279451
139977,-0.002077937126159668,889.8748,3.8856263,0.026287004,852.175,0.0,158.3734631538391,0.026287004,159,0.0074635777,1,905.7726209667599
142977,-0.03142392635345459,903.5951,3.8804092,0.036576632,868.225,0.0,161.94904446601868,0.036576632,160,0.006507692,1,919.9980190823035
145977,-0.038478851318359375,919.6984,3.8504574,0.04016465,886.525,0.0,165.61546182632446,0.04016465,161,0.008396935,1,934.9474196229643
148977,0.021868407726287842,929.80615,3.8833847,0.027361523,899.625,0.0,169.17356657981873,0.027361523,162,0.008190485,1,947.5626825304334
151977,0.013182759284973145,935.33496,3.9114974,0.031891607,909.9,0.0,172.7176706790924,0.031891607,163,0.0079045575,1,953.1626894139802
154977,0.0002180933952331543,938.55286,3.9154725,0.02995248,917.575,0.0,176.3150863647461,0.02995248,164,0.0066358065,1,959.6623657011056
157977,-0.012895345687866211,934.2012,3.956513,0.021271186,917.575,0.0,179.91272807121277,0.021271186,165,0.0073779398,1,959.0017176185456
160977,-0.00014960765838623047,930.3168,3.9386842,0.033977143,917.575,0.0,183.52475500106812,0.033977143,166,0.006892941,1,958.2677012277975
166977,0.002644658088684082,944.8877,3.9624026,0.038331315,936.875,0.0,187.11626529693604,0.038331315,168,0.0059597692,2,972.7277911483559
169977,-0.0199129581451416,941.36346,3.962158,0.030547107,936.875,0.0,190.7371265888214,0.030547107,169,0.007578221,1,971.5734993214286
172977,-0.013971090316772461,937.988,3.9407659,0.03840616,936.875,0.0,194.44327807426453,0.03840616,170,0.008119839,1,971.0225611301703
