EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,EpLenMean,surrgain,TimestepsSoFar,TimeElapsed,meankl,entloss,EpRewMean,entropy,EpThisIter,optimgain
429,2097.784641795107,-0.17529046535491943,791.025,0.04868751,312558,368.82591128349304,0.0076289037,0.0,2097.784641795107,3.4263084,1,0.04868751
430,2096.6235988155677,-0.3757740259170532,791.025,0.049967453,315558,372.5808675289154,0.0073369667,0.0,2096.6235988155677,3.475405,1,0.049967453
431,2096.575937557281,-0.1326429843902588,791.025,0.044165935,318558,376.2865536212921,0.008693579,0.0,2096.575937557281,3.4221408,1,0.044165935
432,2150.4475821777683,0.04509538412094116,812.525,0.035212755,321558,379.92584586143494,0.007760902,0.0,2150.4475821777683,3.4675615,1,0.035212755
433,2158.312432503191,0.20797300338745117,812.525,0.04352253,324558,383.62938690185547,0.0075147776,0.0,2158.312432503191,3.4816585,1,0.04352253
434,2160.7717890224667,0.9315196499228477,810.4,0.061187364,327303,387.2434811592102,0.007899087,0.0,2160.7717890224667,3.5720296,1,0.061187364
435,2166.9803650317544,0.009928286075592041,810.4,0.042473078,330303,390.8823652267456,0.0076838685,0.0,2166.9803650317544,3.5441065,1,0.042473078
436,2175.6149581360337,-0.04965531826019287,810.4,0.045238234,333303,394.56884384155273,0.008863913,0.0,2175.6149581360337,3.55426,1,0.045238234
438,2094.5084948548547,0.7826711386442184,777.25,0.055536464,335325,398.1886878013611,0.009212148,0.0,2094.5084948548547,3.546989,2,0.055536464
439,2102.299526563508,0.03607487678527832,781.7,0.039476812,338325,401.74600648880005,0.00853448,0.0,2102.299526563508,3.5826437,1,0.039476812
440,2107.039916964956,-0.09001767635345459,784.4,0.05126787,341325,405.34946751594543,0.008048333,0.0,2107.039916964956,3.579934,1,0.05126787
441,2137.3941844850174,-0.027236461639404297,796.15,0.04736766,344325,408.93576741218567,0.008194555,0.0,2137.3941844850174,3.5940778,1,0.04736766
444,2057.501994576585,0.9306823089718819,763.325,0.054739114,346845,412.56722497940063,0.008743107,0.0,2057.501994576585,3.592963,3,0.054739114
445,2073.8324073494177,0.895675390958786,772.825,0.057728298,348822,416.2175166606903,0.008073732,0.0,2073.8324073494177,3.598387,1,0.057728298
446,2062.099516719575,0.006419181823730469,772.825,0.041709878,351822,419.8609185218811,0.008532339,0.0,2062.099516719575,3.5711129,1,0.041709878
447,1996.9928415309073,0.6347765326499939,751.025,0.050581343,352206,423.41518688201904,0.008534168,0.0,1996.9928415309073,3.6316593,1,0.050581343
449,2020.5176810792404,0.6138133406639099,761.225,0.048975367,355563,427.0177495479584,0.008054615,0.0,2020.5176810792404,3.6524115,2,0.048975367
450,2015.78192680208,0.764404758810997,757.475,0.04976856,358113,430.6470682621002,0.008424226,0.0,2015.78192680208,3.6441655,1,0.04976856
452,1963.6014620429712,0.2092529535293579,740.325,0.049946252,362055,434.24130368232727,0.007958315,0.0,1963.6014620429712,3.6647031,2,0.049946252
453,1960.4725907290322,0.10496270656585693,737.775,0.05449983,362643,437.91893005371094,0.0085179545,0.0,1960.4725907290322,3.6750185,1,0.05449983
454,1952.0869758723406,0.909993901848793,732.875,0.051957794,365055,441.5579442977905,0.008664855,0.0,1952.0869758723406,3.6741948,1,0.051957794
455,1973.4775991534457,0.06723195314407349,742.1,0.04194612,368055,445.1585285663605,0.007702864,0.0,1973.4775991534457,3.6441104,1,0.04194612
456,1948.228971292981,0.936489962041378,733.35,0.058365464,368745,448.7698109149933,0.007589901,0.0,1948.228971292981,3.6584456,1,0.058365464
458,1885.3022175009705,0.24021893739700317,714.375,0.0482245,372468,452.3733730316162,0.0077808863,0.0,1885.3022175009705,3.655793,2,0.0482245
459,1903.6639233576286,-0.06369006633758545,722.875,0.046367053,375468,456.04082560539246,0.007834638,0.0,1903.6639233576286,3.6798112,1,0.046367053
460,1897.3023173533977,-0.014247417449951172,722.875,0.04533957,378468,459.65064668655396,0.008582732,0.0,1897.3023173533977,3.679893,1,0.04533957
461,1948.6037233232644,-0.00931859016418457,744.2,0.04254798,381468,463.3571267127991,0.0085588135,0.0,1948.6037233232644,3.6975322,1,0.04254798
462,1943.0983010644377,0.17780935764312744,744.2,0.04191973,384468,467.0754008293152,0.008194272,0.0,1943.0983010644377,3.6979365,1,0.04191973
463,1956.519985749085,0.9685452431440353,748.575,0.067457534,386988,470.76219058036804,0.008354604,0.0,1956.519985749085,3.6867073,1,0.067457534
464,1953.2311897084026,0.017577648162841797,748.575,0.055749953,389988,474.3572027683258,0.008122029,0.0,1953.2311897084026,3.694185,1,0.055749953
465,1926.8262763134517,0.9421685673296452,735.875,0.045972645,391464,477.8905131816864,0.008125869,0.0,1926.8262763134517,3.6527793,1,0.045972645
467,1874.972123003922,0.04050278663635254,715.7,0.04918202,395043,481.4673411846161,0.008074023,0.0,1874.972123003922,3.652985,2,0.04918202
469,1881.8623039491772,0.6335136890411377,718.975,0.044644475,398835,485.1537334918976,0.008258957,0.0,1881.8623039491772,3.6686468,2,0.044644475
470,1886.2102072569346,0.057604849338531494,718.975,0.044187546,401835,488.81735348701477,0.010444406,0.0,1886.2102072569346,3.6671124,1,0.044187546
471,1889.5068800078036,0.05840098857879639,718.975,0.047790285,404835,492.4598150253296,0.009234872,0.0,1889.5068800078036,3.6502619,1,0.047790285
472,1892.3825050783744,0.03499859571456909,718.975,0.036906324,407835,496.10750365257263,0.008652665,0.0,1892.3825050783744,3.6924436,1,0.036906324
473,1890.2668040071458,0.037900447845458984,718.975,0.03504785,410835,499.79949164390564,0.008417288,0.0,1890.2668040071458,3.7645807,1,0.03504785
474,1890.3429257878784,-0.2007734775543213,721.1,0.04148485,413835,503.4754683971405,0.008371932,0.0,1890.3429257878784,3.7555008,1,0.04148485
475,1884.6747636364773,-0.02524852752685547,721.1,0.049127024,416835,507.03020310401917,0.010163685,0.0,1884.6747636364773,3.7594843,1,0.049127024
476,1881.9216005558076,-0.018545031547546387,721.1,0.040185913,419835,510.72719264030457,0.009015936,0.0,1881.9216005558076,3.7843928,1,0.040185913
477,1911.0357724071841,0.9142232239246368,731.95,0.08178575,422751,514.3588280677795,0.007848877,0.0,1911.0357724071841,3.7564092,1,0.08178575
478,1968.752498391334,-0.004319667816162109,753.55,0.04125547,425751,517.9768025875092,0.008415705,0.0,1968.752498391334,3.757416,1,0.04125547
479,1961.3206167503267,0.04363453388214111,753.55,0.03476377,428751,521.633819103241,0.0092760455,0.0,1961.3206167503267,3.7635117,1,0.03476377
480,1955.40731203496,0.09723144769668579,753.55,0.03996827,431751,525.2359764575958,0.008507835,0.0,1955.40731203496,3.791083,1,0.03996827
481,1947.7096397788732,0.07850527763366699,753.55,0.048954576,434751,528.859917640686,0.009150143,0.0,1947.7096397788732,3.8125978,1,0.048954576
