EpThisIter,EpTrueRewMean,EpisodesSoFar,ev_tdlam_before,meankl,TimeElapsed,TimestepsSoFar,EpRewMean,entloss,EpLenMean,entropy,optimgain,surrgain
2,2770.667176060743,1382,0.7103531062602997,0.009843749,13625.284077882767,837823,400.1574,0.0,765.125,1.1932344,0.038383596,0.038383596
1,2796.2521247155946,1383,0.9591245725750923,0.0105772875,13634.942063808441,838747,404.60727,0.0,771.875,1.1963044,0.064044304,0.064044304
3,2752.786045167232,1386,0.7621209472417831,0.011495932,13644.738123893738,840256,401.37558,0.0,760.3,1.1743841,0.050823435,0.050823435
3,2619.3062175081277,1389,0.9827372562140226,0.009867497,13654.518106937408,841486,384.9494,0.0,722.675,1.1618999,0.05120966,0.05120966
1,2652.093097571117,1390,0.29794347286224365,0.010285568,13664.23097205162,842486,390.4247,0.0,732.425,1.1436337,0.043620504,0.043620504
1,2628.3090667590004,1391,0.31964755058288574,0.010337276,13677.313933372498,843486,391.6806,0.0,732.425,1.1788898,0.048107766,0.048107766
1,2612.957759330462,1392,-0.042897820472717285,0.011119128,13687.036712884903,844486,392.5177,0.0,732.425,1.1761819,0.045213804,0.045213804
2,2589.2224684849302,1394,0.7636433094739914,0.012104844,13696.74276971817,845827,391.69388,0.0,725.7,1.1787294,0.05031059,0.05031059
1,2525.2477993983325,1395,-0.00027763843536376953,0.009697402,13706.445929765701,846827,391.33017,0.0,725.7,1.2214332,0.01458551,0.01458551
1,2583.1362044140137,1396,-0.037773966789245605,0.0117123285,13716.171268939972,847827,400.35333,0.0,744.0,1.2264749,0.036786728,0.036786728
1,2641.5238098819864,1397,0.010318338871002197,0.010765776,13726.005999565125,848827,408.6369,0.0,760.9,1.2030535,0.034344044,0.034344044
2,2552.426591923692,1399,0.9667547903954983,0.010654583,13735.904999732971,849776,398.50616,0.0,734.625,1.20369,0.05533184,0.05533184
2,2501.2579733132116,1401,0.5564893484115601,0.010772202,13745.615241289139,851012,394.0172,0.0,727.075,1.2444373,0.04219403,0.04219403
2,2367.803322674716,1403,0.9646929353475571,0.010829078,13755.371838092804,851666,377.62643,0.0,693.425,1.2608508,0.06110719,0.06110719
1,2368.364817772703,1404,-0.021332383155822754,0.010157952,13765.017346858978,852666,378.39493,0.0,693.425,1.289302,0.04187424,0.04187424
5,2143.006340581428,1409,0.9839669279754162,0.011019055,13774.62412571907,853868,352.42715,0.0,630.05,1.2950743,0.058031164,0.058031164
3,2105.767920466408,1412,0.9403022304177284,0.010689294,13784.293095111847,854828,348.0717,0.0,619.975,1.2996017,0.072742246,0.072742246
2,1980.2121300547092,1414,0.94764444231987,0.012709058,13794.148522853851,855485,332.1149,0.0,586.4,1.308579,0.0630381,0.0630381
4,1791.1050366534153,1418,0.9815369322896004,0.01244348,13803.750654697418,856443,307.67465,0.0,533.975,1.3024625,0.056488656,0.056488656
3,1656.2835137834925,1421,0.9643957763910294,0.012268328,13813.322655200958,857234,290.5635,0.0,496.625,1.291418,0.06678663,0.06678663
4,1542.0354141099563,1425,0.9755010828375816,0.01111748,13823.028559446335,858623,275.2435,0.0,465.175,1.2948114,0.053601433,0.053601433
3,1520.4580502279339,1428,0.990857963450253,0.011100164,13832.734248399734,859639,273.1258,0.0,459.675,1.2932792,0.049417675,0.049417675
2,1515.4534280906032,1430,0.98948332387954,0.010563525,13842.469698905945,860785,272.89236,0.0,457.475,1.2872995,0.05736976,0.05736976
3,1384.4855833276283,1433,0.9888913463801146,0.012126752,13852.374644517899,861890,248.61777,0.0,410.1,1.2707616,0.056837164,0.056837164
2,1402.9772715888687,1435,0.9817883167415857,0.009874769,13862.153704881668,862721,243.95499,0.0,397.35,1.2818295,0.061833415,0.061833415
1,1410.1514888555478,1436,0.3077113628387451,0.014722006,13871.81612443924,863721,244.36934,0.0,397.35,1.2846979,0.047243673,0.047243673
3,1355.4406784131086,1439,0.9719202592968941,0.011902655,13881.523609399796,865062,235.74397,0.0,382.15,1.311293,0.057521053,0.057521053
2,1369.2293163083473,1441,0.8056777268648148,0.010244126,13891.199794530869,866251,236.06926,0.0,380.975,1.345847,0.037197284,0.037197284
1,1437.8655849537183,1442,0.5269940793514252,0.010447134,13900.90405869484,867251,245.54501,0.0,400.225,1.3553296,0.04513029,0.04513029
3,1441.4811569929334,1445,0.8218474388122559,0.010648051,13910.539828777313,868891,244.33716,0.0,396.925,1.3591233,0.046875738,0.046875738
1,1461.1570831886497,1446,0.9884283896535635,0.0112389205,13923.547657489777,869336,246.19727,0.0,402.375,1.3459407,0.05377207,0.05377207
1,1513.618118319921,1447,0.9693936631083488,0.012248539,13933.513634681702,870081,252.57793,0.0,416.15,1.3632483,0.051725037,0.051725037
1,1584.3849102361821,1448,0.8225855827331543,0.010736084,13943.114862203598,871081,261.79184,0.0,436.025,1.3510953,0.050833322,0.050833322
1,1626.3699770931557,1449,0.9875654093921185,0.011259468,13952.689679145813,871747,266.21295,0.0,446.975,1.3615874,0.050199237,0.050199237
2,1664.3773791735744,1451,0.04706507921218872,0.0112160975,13962.333747148514,872876,269.91162,0.0,459.3,1.3601911,0.054460786,0.054460786
1,1722.7305105375901,1452,0.03635847568511963,0.010330223,13972.438514947891,873876,277.01035,0.0,476.2,1.3807467,0.036376715,0.036376715
2,1793.3758307802855,1454,0.7699672132730484,0.011169659,13982.178303480148,875252,285.25888,0.0,494.175,1.3771157,0.043597676,0.043597676
2,1825.6626149185927,1456,0.985991750843823,0.010572605,13991.82989025116,876062,288.07642,0.0,502.325,1.367134,0.05687987,0.05687987
1,1893.3637586705634,1457,0.022535979747772217,0.011225436,14001.604538440704,877062,296.40317,0.0,521.2,1.3756875,0.03829032,0.03829032
1,1953.640696558256,1458,0.9808738492429256,0.01208118,14011.305743932724,877934,303.47745,0.0,537.275,1.3747389,0.05904003,0.05904003
1,2006.5293978117206,1459,0.9878004463389516,0.010333535,14020.878174304962,878738,310.0916,0.0,551.225,1.3997546,0.053376295,0.053376295
2,2055.4990042864847,1461,0.985450129956007,0.010705985,14030.524073600769,879786,315.46436,0.0,563.8,1.3879123,0.052639753,0.052639753
1,2055.974750483047,1462,0.9929821356199682,0.011988906,14040.424830436707,880498,314.24576,0.0,564.225,1.3598472,0.05878145,0.05878145
1,2093.8703326488967,1463,0.9908423256129026,0.010873362,14050.020656108856,881090,319.2232,0.0,574.35,1.3265496,0.058815297,0.058815297
1,2166.1076409241573,1464,0.13476133346557617,0.0097010285,14059.775244951248,882090,329.35318,0.0,594.225,1.3526822,0.037838556,0.037838556
1,2212.6853247442887,1465,0.987335566431284,0.010536369,14069.49269604683,882886,334.87173,0.0,606.575,1.3710291,0.05660098,0.05660098
1,2261.8526236938114,1466,-0.0052100419998168945,0.013276769,14079.288462877274,883886,341.23846,0.0,620.675,1.372644,0.0440503,0.0440503
2,2322.9047429658176,1468,0.568413496017456,0.010156675,14089.095754861832,885148,347.58563,0.0,637.725,1.3841498,0.034998596,0.034998596
1,2331.0318588206874,1469,0.04202812910079956,0.011308616,14098.946624994278,886148,347.7989,0.0,640.65,1.4131076,0.037023585,0.037023585
1,2354.97088445299,1470,0.987881907261908,0.011171984,14108.760721683502,886667,350.84778,0.0,647.05,1.4267818,0.07286161,0.07286161
1,2400.0661086260243,1471,0.0432819128036499,0.0135569675,14118.390226840973,887667,356.46494,0.0,659.9,1.4183024,0.04550903,0.04550903
2,2484.136854140147,1473,0.723537415266037,0.011540924,14127.940782308578,889204,367.39447,0.0,682.85,1.441801,0.04537846,0.04537846
1,2527.6407705459314,1474,0.04019320011138916,0.009720208,14137.66644191742,890204,372.73404,0.0,695.2,1.439043,0.038234472,0.038234472
2,2495.3117064598796,1476,0.9866057019680738,0.011857579,14147.422983169556,891136,367.7312,0.0,685.375,1.4425542,0.05798601,0.05798601
1,2501.116007025884,1477,0.03785133361816406,0.01074599,14157.03793001175,892136,368.28442,0.0,687.725,1.4149019,0.042194966,0.042194966
1,2568.4929752838175,1478,0.02306187152862549,0.011385885,14170.020431518555,893136,377.17007,0.0,706.75,1.4030287,0.0447594,0.0447594
1,2641.1006538120573,1479,0.024357974529266357,0.011094597,14179.882962703705,894136,387.47855,0.0,726.85,1.3933238,0.0444668,0.0444668
2,2696.6012945377247,1481,0.7180319726467133,0.013421507,14189.419493198395,895895,394.91635,0.0,741.1,1.3767673,0.04212291,0.04212291
1,2697.0527048019812,1482,0.025142788887023926,0.012510965,14199.065348625183,896895,394.47693,0.0,741.1,1.3480861,0.040623903,0.040623903
1,2697.4863178362975,1483,0.04812079668045044,0.0118241785,14208.835989952087,897895,393.79202,0.0,741.1,1.356194,0.03769468,0.03769468
1,2759.0236787146596,1484,0.025815606117248535,0.01098803,14218.997333288193,898895,402.77313,0.0,758.325,1.3452115,0.044355404,0.044355404
3,2699.962507738378,1487,0.9462954476475716,0.010301971,14228.529113531113,899753,396.74493,0.0,741.8,1.3531264,0.056420192,0.056420192
1,2699.5624707155353,1488,0.026505351066589355,0.010619215,14238.171456098557,900753,396.3977,0.0,741.8,1.3376085,0.038114246,0.038114246
2,2667.9667261135664,1490,0.6995089948177338,0.013972521,14247.92249751091,902059,392.78574,0.0,732.8,1.3250355,0.046555072,0.046555072
2,2690.102023331982,1492,0.9835406970232725,0.011403424,14257.54534959793,903312,396.7531,0.0,735.9,1.3569536,0.06370303,0.06370303
1,2691.3811061430924,1493,-5.1856040954589844e-05,0.0112487525,14267.176688194275,904312,396.80518,0.0,735.9,1.375351,0.034500197,0.034500197
2,2716.63248622019,1495,0.9876926075667143,0.01081544,14276.808609724045,905419,402.03036,0.0,741.7,1.3706684,0.06298689,0.06298689
1,2777.8930075852163,1496,0.501519113779068,0.010732637,14286.690528869629,906419,411.64398,0.0,758.925,1.361485,0.058335952,0.058335952
2,2711.1982180690948,1498,0.7178317308425903,0.013646978,14296.402769327164,907598,403.39447,0.0,741.6,1.339293,0.045772687,0.045772687
1,2725.6111331575657,1499,0.011760354042053223,0.009543467,14306.07526230812,908598,405.6609,0.0,746.5,1.3257478,0.04457624,0.04457624
3,2707.472999957647,1502,0.7709747105836868,0.013134945,14315.812995195389,910193,404.01138,0.0,742.375,1.3313731,0.051572233,0.051572233
1,2742.021304411304,1503,0.9754572082310915,0.0109455865,14325.846261262894,911149,409.68604,0.0,751.475,1.346613,0.058978595,0.058978595
1,2682.4749739311897,1504,0.9838070627301931,0.0106427185,14335.504873037338,911476,401.5125,0.0,734.65,1.3559766,0.0629219,0.0629219
1,2697.3131562714143,1505,0.007717609405517578,0.010994781,14345.486471176147,912476,403.99466,0.0,739.75,1.3560922,0.037818067,0.037818067
2,2716.190647647197,1507,0.7307568490505219,0.010442714,14355.20302605629,913951,407.36536,0.0,745.075,1.360422,0.04334787,0.04334787
1,2693.953657651297,1508,0.9883194351568818,0.011575148,14364.77932190895,914689,405.32776,0.0,738.525,1.3764571,0.059008114,0.059008114
2,2683.1295880362704,1510,0.8521221727132797,0.0105197,14374.3826816082,916111,404.68665,0.0,736.1,1.346581,0.047838368,0.047838368
2,2637.331910456999,1512,0.7867327481508255,0.0040887147,14383.966266870499,917604,399.66632,0.0,723.425,1.3347234,0.035667073,0.035667073
1,2675.467119352743,1513,0.003247201442718506,0.013361572,14393.674832105637,918604,405.0864,0.0,735.0,1.3029817,0.046943206,0.046943206
2,2632.868473019017,1515,0.9758304338902235,0.011842977,14404.256944417953,919755,400.42825,0.0,723.1,1.3055009,0.06797904,0.06797904
1,2692.2173366433944,1516,0.02166050672531128,0.011061884,14416.341384887695,920755,409.1187,0.0,740.475,1.3009905,0.04072252,0.04072252
1,2661.128325424025,1517,0.9827966578304768,0.011642624,14426.239577293396,921410,405.68356,0.0,731.85,1.3023072,0.062974095,0.062974095
1,2656.9068364506034,1518,0.9867290910333395,0.013138035,14435.956254005432,922335,406.93774,0.0,729.975,1.2885495,0.059356757,0.059356757
1,2649.107836157788,1519,0.9440702199935913,0.010085516,14445.494193792343,923211,407.1846,0.0,726.875,1.3041382,0.079019286,0.079019286
2,2601.027857532884,1521,0.9562086649239063,0.012085984,14455.452626228333,924477,403.2044,0.0,714.55,1.3248762,0.057846233,0.057846233
1,2600.033989467452,1522,0.0671464204788208,0.011843666,14465.175389766693,925477,403.5253,0.0,714.55,1.354497,0.044704154,0.044704154
