EpThisIter,meankl,EpisodesSoFar,TimestepsSoFar,TimeElapsed,entropy,EpRewMean,ev_tdlam_before,EpTrueRewMean,EpLenMean,surrgain,optimgain,entloss
9,0.0059963753,8156,831884,5830.0326952934265,22.823748,71.43269,0.8890011757612228,597.767862803739,118.825,0.19762796,0.19762796,0.0
10,0.005430611,8166,833028,5837.239717245102,22.817606,71.95314,0.8971354886889458,595.4845140513172,118.85,0.16436781,0.16436781,0.0
9,0.0057891123,8175,834038,5844.353059768677,22.814226,71.863625,0.9039079695940018,596.4696089982915,118.125,0.18817641,0.18817641,0.0
9,0.0058576656,8184,835083,5851.480607509613,22.815514,74.62258,0.8354890793561935,611.3180034233201,120.05,0.1697947,0.1697947,0.0
8,0.0050203023,8192,836082,5858.63561797142,22.818605,72.57267,0.8502159863710403,588.7866570391543,115.475,0.18016051,0.18016051,0.0
9,0.005533077,8201,837097,5865.785279512405,22.821024,73.14154,0.8653705716133118,582.3295977620263,114.15,0.18929404,0.18929404,0.0
9,0.0058501516,8210,838116,5872.922380924225,22.819315,76.39238,0.8967129066586494,603.4995353141928,117.25,0.18252161,0.18252161,0.0
9,0.004850034,8219,839189,5880.005474567413,22.819818,73.01103,0.9139104336500168,591.8183188838472,115.75,0.16898331,0.16898331,0.0
8,0.005901619,8227,840204,5887.105911016464,22.819893,76.15282,0.8996327370405197,608.2004112498627,119.575,0.19662322,0.19662322,0.0
8,0.00544616,8235,841261,5894.254677057266,22.820621,75.19185,0.9269866794347763,623.3798355064679,121.975,0.17166498,0.17166498,0.0
8,0.005667233,8243,842224,5901.351984262466,22.821129,74.92078,0.8725486099720001,624.459967744908,122.55,0.19054642,0.19054642,0.0
8,0.004813811,8251,843218,5908.687130212784,22.823248,75.05564,0.8502977788448334,631.7239842231791,124.9,0.16883254,0.16883254,0.0
9,0.0055143405,8260,844210,5915.975197553635,22.824299,75.09777,0.8854193016886711,616.3142252791537,122.725,0.17213696,0.17213696,0.0
8,0.0048305136,8268,845252,5923.106201887131,22.827642,74.57375,0.8680352866649628,609.2954506916612,121.7,0.17607863,0.17607863,0.0
9,0.005069178,8277,846300,5930.231493711472,22.82717,75.011024,0.8916740193963051,598.7276105251449,120.05,0.16627902,0.16627902,0.0
8,0.00518537,8285,847365,5937.259909152985,22.826414,75.7577,0.8815139085054398,611.0924198125401,122.2,0.17480093,0.17480093,0.0
8,0.0053212056,8293,848349,5944.378202676773,22.82739,72.604645,0.907983236014843,615.3654468639645,122.2,0.17372948,0.17372948,0.0
9,0.0050625596,8302,849376,5951.579256296158,22.822594,70.484474,0.8854764029383659,620.0063643752632,122.1,0.16494568,0.16494568,0.0
9,0.005516664,8311,850470,5958.767199039459,22.824642,68.491554,0.8600322753190994,628.9120661462078,123.05,0.18038206,0.18038206,0.0
9,0.005660815,8320,851566,5965.879674911499,22.82708,68.09824,0.8969181850552559,625.2510895576573,123.5,0.189912,0.189912,0.0
9,0.0053004236,8329,852534,5973.034588575363,22.833502,63.990356,0.9041551351547241,597.0233440461385,117.075,0.16893432,0.16893432,0.0
9,0.0055157198,8338,853590,5980.1188788414,22.833336,62.69398,0.9277641922235489,590.5328285460868,116.025,0.1854406,0.1854406,0.0
10,0.0060416376,8348,854672,5987.176769733429,22.834064,62.648834,0.8727125972509384,583.506351000366,114.275,0.198225,0.198225,0.0
8,0.006230715,8356,855632,5994.353675127029,22.831139,61.25477,0.8455176800489426,579.9528720237997,113.7,0.19818783,0.19818783,0.0
8,0.0060815155,8364,856668,6001.4850862026215,22.829367,63.995747,0.8283951729536057,594.8229858780186,116.7,0.18718311,0.18718311,0.0
9,0.005435859,8373,857712,6008.619212388992,22.832033,64.305115,0.9019281193614006,600.3292804721323,118.725,0.15671162,0.15671162,0.0
6,0.0056069437,8379,858706,6015.749945163727,22.830809,69.88655,0.8250113129615784,618.7179634114973,122.675,0.19099894,0.19099894,0.0
7,0.0056730397,8386,859652,6022.9258325099945,22.826925,71.5293,0.8760771825909615,647.010219444048,129.025,0.16567062,0.16567062,0.0
6,0.005669239,8392,860645,6030.096431016922,22.827414,74.77836,0.8808752447366714,685.4787147176966,136.175,0.19250399,0.19250399,0.0
9,0.0053015472,8401,861726,6037.244568824768,22.828697,76.040245,0.8487793654203415,685.6199911236304,137.1,0.20084828,0.20084828,0.0
