optimgain,EpTrueRewMean,EpLenMean,ev_tdlam_before,entropy,EpRewMean,EpThisIter,meankl,TimeElapsed,surrgain,EpisodesSoFar,entloss,TimestepsSoFar
0.042774536,751.5101707357087,665.15,-0.037452101707458496,3.8737261,426.6164,1,0.0068962676,144.22039413452148,0.042774536,117,0.0,96531
0.075408034,771.6005729311371,685.85,-0.48829615116119385,3.8608782,436.40106,1,0.006666512,148.47227430343628,0.075408034,118,0.0,99531
0.03357911,789.1175722041405,705.2,-0.011382699012756348,3.8911514,444.3083,1,0.0067641484,152.76253414154053,0.03357911,119,0.0,102531
0.03124587,807.406923908982,725.875,-0.0021975040435791016,3.8541806,453.3121,1,0.00605464,157.06534123420715,0.03124587,120,0.0,105531
0.055289168,814.696197870698,741.55,0.22401171922683716,3.8462589,455.06085,3,0.0058863563,161.35517954826355,0.055289168,123,0.0,109725
0.034726396,831.0289511139854,759.925,-0.0671921968460083,3.8899477,462.16562,1,0.0060781436,165.5443787574768,0.034726396,124,0.0,112725
0.040661395,843.8120029625737,776.475,-0.042119503021240234,3.8869092,467.99512,1,0.0060999077,169.81394338607788,0.040661395,125,0.0,115725
0.06191548,851.3906679233387,782.55,0.027948498725891113,3.8883977,471.33994,1,0.005854206,174.07622480392456,0.06191548,126,0.0,117276
0.042885512,865.3483318636991,797.4,-0.00789785385131836,3.8838482,476.31152,1,0.0057148356,178.3321499824524,0.042885512,127,0.0,120276
0.041266292,877.6196725928519,812.55,-0.017478346824645996,3.9039369,481.60034,1,0.006044923,182.55305242538452,0.041266292,128,0.0,123276
0.05249073,904.3101549832973,843.05,0.4180847406387329,3.895538,495.67276,2,0.008162452,186.8109905719757,0.05249073,130,0.0,128850
0.036299504,909.5106723765679,852.325,-0.057849884033203125,3.8963697,496.55356,1,0.0067167087,191.05924224853516,0.036299504,131,0.0,131850
0.029469855,908.878576417064,852.325,-0.024027347564697266,3.9268513,491.61884,1,0.0063124103,195.2946629524231,0.029469855,132,0.0,134850
0.05772481,916.1522060167215,861.325,0.5772997140884399,3.9166262,493.65533,1,0.0070122285,199.57628726959229,0.05772481,133,0.0,137364
0.036465302,933.3636812458342,878.525,-0.0006128549575805664,3.924751,500.98917,1,0.0074008275,203.7597999572754,0.036465302,134,0.0,140364
0.07898959,925.8178439022486,871.225,0.9292490631341934,3.9326859,495.5965,1,0.0066197747,207.96253418922424,0.07898959,135,0.0,141444
