optimgain,EpisodesSoFar,meankl,TimeElapsed,EpTrueRewMean,surrgain,entloss,EpLenMean,EpRewMean,TimestepsSoFar,EpThisIter,entropy,ev_tdlam_before
0.056999963,218,0.008208221,262.45498847961426,1195.9673234239842,0.056999963,0.0,519.475,608.754,186954,2,3.660034,0.9714047182351351
0.05546105,219,0.007837713,266.6681945323944,1204.5510374823748,0.05546105,0.0,509.825,612.4414,188796,1,3.6461177,0.9365365505218506
0.058065426,221,0.007011973,270.8426444530487,1238.8396191623237,0.058065426,0.0,515.725,624.7748,192534,2,3.6194174,0.913828931748867
0.051504623,224,0.008029947,275.0584006309509,1249.4257711349157,0.051504623,0.0,506.425,626.00476,196257,3,3.609741,0.7210149765014648
0.0641158,228,0.0081159305,279.275918006897,1203.830207415504,0.0641158,0.0,468.0,598.2909,199080,4,3.595695,0.7344241440296173
0.03952875,229,0.0076754973,283.4944577217102,1219.7519906364291,0.03952875,0.0,469.85,604.0357,200460,1,3.5619817,0.10879933834075928
0.05006068,231,0.0076739043,287.7085750102997,1259.5281260352942,0.05006068,0.0,475.525,617.9979,203682,2,3.5674663,0.6706533432006836
0.045190185,233,0.008254052,291.90531826019287,1297.4429184034955,0.045190185,0.0,481.3,629.0852,207630,2,3.5861142,0.9713042248040438
0.044156548,234,0.008558865,296.09907388687134,1334.1800870040213,0.044156548,0.0,490.125,642.3978,209838,1,3.5156775,0.8073273450136185
0.045871142,235,0.00905098,300.30796122550964,1389.9364634599303,0.045871142,0.0,504.925,656.75305,212838,1,3.4760356,0.43091529607772827
0.053288627,238,0.008228231,304.5536208152771,1395.1499521624658,0.053288627,0.0,494.55,642.9191,216888,3,3.433169,0.7805191427469254
0.050465073,239,0.009010045,308.7941403388977,1430.3224343965999,0.050465073,0.0,504.425,653.38605,219177,1,3.3658378,0.9760467167943716
0.062254064,241,0.008215902,312.93174982070923,1452.1952201996216,0.062254064,0.0,507.9,657.2709,221961,2,3.3522732,0.9510490894317627
0.055248257,243,0.008563109,317.1397297382355,1447.673854565904,0.055248257,0.0,503.025,649.5503,224259,2,3.3249228,0.9247816577553749
0.061127186,246,0.008352343,321.32780408859253,1455.0904474945341,0.061127186,0.0,494.55,649.60675,227466,3,3.3429797,0.9796294458210468
0.055721693,248,0.007677828,325.49080514907837,1516.9603220383578,0.055721693,0.0,505.375,671.91986,231594,2,3.3640838,0.980222912505269
0.054500178,250,0.008803518,329.7225980758667,1519.5481891885483,0.054500178,0.0,502.0,666.56995,234339,2,3.3354185,0.971248485147953
0.055534706,253,0.008895118,333.9041655063629,1501.5307588166338,0.055534706,0.0,486.875,651.6507,237339,3,3.3200917,0.9607005231082439
0.055032928,255,0.009491365,338.0899097919464,1487.8557349696534,0.055032928,0.0,474.275,638.22614,240039,2,3.320365,0.9814964774996042
0.061954595,257,0.008482594,342.2086081504822,1526.283118368734,0.061954595,0.0,481.05,646.1286,243513,2,3.3331695,0.8838106095790863
0.05773265,259,0.008233101,346.3162500858307,1578.8490627047488,0.05773265,0.0,491.675,657.3882,247797,2,3.2948694,0.9570963233709335
0.05255723,261,0.008839998,350.4173536300659,1650.5451857418666,0.05255723,0.0,507.05,677.4749,253380,2,3.3578095,0.9844235125929117
0.041607484,263,0.009558658,354.51314520835876,1690.9097886317754,0.041607484,0.0,517.125,685.87634,257952,2,3.3242402,0.7238502204418182
0.04933635,265,0.008699397,358.5973823070526,1765.492286710815,0.04933635,0.0,535.975,711.548,262035,2,3.3019805,0.9688649121671915
0.0495326,266,0.008634462,362.6585280895233,1809.1970864969014,0.0495326,0.0,548.475,728.31903,263628,1,3.2288437,0.9615606032311916
0.05851987,267,0.008333771,366.66093730926514,1862.9564184349547,0.05851987,0.0,563.55,744.57965,266628,1,3.2432537,0.7047202587127686
0.06313732,269,0.009218833,370.76030564308167,1902.2733765639139,0.06313732,0.0,572.7,759.54346,269184,2,3.2649848,0.962553083896637
0.06495238,271,0.0088561205,374.749413728714,1912.7549474453613,0.06495238,0.0,572.5,760.8854,272382,2,3.2629066,0.9650535471737385
0.045916528,272,0.008979874,378.8139705657959,1928.899315902383,0.045916528,0.0,577.25,761.6281,275382,1,3.3080518,0.01215749979019165
0.039482795,273,0.009940505,382.82459592819214,1969.5752065898942,0.039482795,0.0,589.6,772.9347,278382,1,3.2879035,-0.014375090599060059
0.03603547,274,0.00860839,386.885338306427,1988.4875988935285,0.03603547,0.0,596.2,777.6959,281382,1,3.328736,0.15723228454589844
0.04542581,275,0.00834157,390.96357321739197,1989.153876653596,0.04542581,0.0,596.2,778.2845,284382,1,3.3227518,0.02393317222595215
0.05730231,277,0.009260479,395.07193660736084,1997.090128549009,0.05730231,0.0,597.75,781.9444,288471,2,3.3456402,0.6674280166625977
0.059758365,279,0.0095095625,399.2767803668976,2027.6893585444857,0.059758365,0.0,604.725,795.51013,291744,2,3.34033,0.9791228994727135
0.050475292,280,0.008528544,403.4307610988617,2028.8370098684463,0.050475292,0.0,603.9,796.34015,293232,1,3.3285286,0.983636312186718
0.052979976,281,0.008713079,407.58042883872986,2076.3510059618084,0.052979976,0.0,618.05,814.8035,296127,1,3.3251867,0.9545518718659878
0.048486903,282,0.008415418,411.7118763923645,2110.8369103408927,0.048486903,0.0,626.7,828.32227,297699,1,3.3155537,0.9764088839292526
0.056910425,284,0.008276358,415.85728645324707,2138.7102550740274,0.056910425,0.0,634.45,836.2809,301497,2,3.2044673,0.9804720692336559
0.044370163,286,0.009304367,419.95285415649414,2203.689079785513,0.044370163,0.0,652.9,857.61414,305814,2,3.2361987,0.9502944983541965
0.050550766,288,0.009289084,424.32858061790466,2175.078248917286,0.050550766,0.0,646.825,841.5381,309213,2,3.2594275,0.5848673582077026
0.05346422,291,0.008840246,428.33396315574646,2160.852168428734,0.05346422,0.0,642.825,831.22736,312567,3,3.2387788,0.797711044549942
0.04886698,292,0.008547421,432.4424102306366,2151.6327642565598,0.04886698,0.0,639.3,827.42365,313626,1,3.250969,0.9038851112127304
0.06503846,293,0.008788398,436.54396080970764,2163.9345609128786,0.06503846,0.0,642.675,830.777,314460,1,3.257293,0.8627264350652695
